Dataset;Experiment 1 Name;Experiment 2 Name;T Test Compared Results;Alfa;T-value;P-value;Level of Confidence (%);Equal Variance?
Ohsumed;LR01;DO05;Reject H0;0.03;-5.5498;0.00015544199435600132;99.9845;False
Ohsumed;LR01;DO06;Reject H0;0.03;-4.5708;0.000628977113357221;99.9371;False
Ohsumed;LR01;DO07;Reject H0;0.03;-4.7462;0.0001612702553284839;99.9839;True
Ohsumed;LR01;DO08;Reject H0;0.03;-3.4041;0.003162771948194628;99.6837;True
Ohsumed;LR01;DO09;Fail to reject H0;0.03;-2.1275;0.047460515427166394;95.2539;True
Ohsumed;LR01;HD50;Fail to reject H0;0.03;-0.2729;0.7894997849434309;21.05;False
Ohsumed;LR01;HD350;Reject H0;0.03;-5.8872;5.625585680471384e-05;99.9944;False
Ohsumed;LR01;HD500;Reject H0;0.03;-6.41;3.514626702439061e-05;99.9965;False
Ohsumed;LR001;LR0001;Reject H0;0.03;8.356;1.3110910066454907e-07;100.0;True
Ohsumed;LR001;LR00001;Reject H0;0.03;11.7824;6.77144923725084e-10;100.0;True
Ohsumed;LR001;DO01;Fail to reject H0;0.03;-1.9049;0.07289803790913132;92.7102;True
Ohsumed;LR001;DO02;Fail to reject H0;0.03;-1.3135;0.20551973740824814;79.448;True
Ohsumed;LR001;DO03;Fail to reject H0;0.03;-1.7754;0.10001975386441073;89.998;False
Ohsumed;LR001;DO04;Fail to reject H0;0.03;-0.925;0.3741491197371586;62.5851;False
Ohsumed;LR001;DO05;Fail to reject H0;0.03;-0.1934;0.8496007852130483;15.0399;False
Ohsumed;LR001;DO06;Fail to reject H0;0.03;0.937;0.36116405551391983;63.8836;True
Ohsumed;LR001;DO07;Fail to reject H0;0.03;0.1457;0.88579770790676;11.4202;True
Ohsumed;LR001;DO08;Fail to reject H0;0.03;1.5762;0.13240096270471588;86.7599;True
Ohsumed;LR001;DO09;Reject H0;0.03;3.018;0.00738969232067667;99.261;True
Ohsumed;LR001;HD50;Reject H0;0.03;6.4549;4.499577545050859e-06;99.9996;True
Ohsumed;LR001;HD350;Fail to reject H0;0.03;-0.8856;0.38749194315750923;61.2508;True
Ohsumed;LR001;HD500;Fail to reject H0;0.03;-1.4086;0.1760053181746162;82.3995;True
Ohsumed;LR0001;LR00001;Reject H0;0.03;5.7489;1.8925234477707246e-05;99.9981;True
Ohsumed;LR0001;DO01;Reject H0;0.03;-15.2415;9.864572619262318e-12;100.0;True
Ohsumed;LR0001;DO02;Reject H0;0.03;-13.9308;4.413132263376434e-11;100.0;True
Ohsumed;LR0001;DO03;Reject H0;0.03;-16.2268;3.435252332847683e-12;100.0;True
Ohsumed;LR0001;DO04;Reject H0;0.03;-16.0658;4.0656266065895784e-12;100.0;True
Ohsumed;LR0001;DO05;Reject H0;0.03;-13.2099;1.0590597595017279e-10;100.0;True
Ohsumed;LR0001;DO06;Reject H0;0.03;-10.6071;3.5785704852091695e-09;100.0;True
Ohsumed;LR0001;DO07;Reject H0;0.03;-9.1083;3.684265059369153e-08;100.0;True
Ohsumed;LR0001;DO08;Reject H0;0.03;-6.5962;3.402230340816636e-06;99.9997;True
Ohsumed;LR0001;DO09;Reject H0;0.03;-4.5461;0.00025023452643061547;99.975;True
Ohsumed;LR0001;HD50;Reject H0;0.03;-2.4592;0.024275234504070747;97.5725;True
Ohsumed;LR0001;HD350;Reject H0;0.03;-12.4654;2.728477229612747e-10;100.0;True
Ohsumed;LR0001;HD500;Reject H0;0.03;-14.3062;2.8394853144259428e-11;100.0;True
Ohsumed;LR00001;DO01;Reject H0;0.03;-18.0097;5.834870420540281e-13;100.0;True
Ohsumed;LR00001;DO02;Reject H0;0.03;-16.9591;1.625656905805427e-12;100.0;True
Ohsumed;LR00001;DO03;Reject H0;0.03;-18.7171;3.015506231790072e-13;100.0;True
Ohsumed;LR00001;DO04;Reject H0;0.03;-18.4831;1.2769489151403266e-10;100.0;False
Ohsumed;LR00001;DO05;Reject H0;0.03;-16.3696;2.9620866377601944e-12;100.0;True
Ohsumed;LR00001;DO06;Reject H0;0.03;-14.2495;3.033145772351851e-11;100.0;True
Ohsumed;LR00001;DO07;Reject H0;0.03;-12.6471;2.1567672068197833e-10;100.0;True
Ohsumed;LR00001;DO08;Reject H0;0.03;-10.2652;5.960551003107107e-09;100.0;True
Ohsumed;LR00001;DO09;Reject H0;0.03;-8.3489;1.327222675282504e-07;100.0;True
Ohsumed;LR00001;HD50;Reject H0;0.03;-7.5645;5.38789745698133e-07;99.9999;True
Ohsumed;LR00001;HD350;Reject H0;0.03;-15.7367;5.7634073035350675e-12;100.0;True
Ohsumed;LR00001;HD500;Reject H0;0.03;-17.2607;1.2045155346616707e-12;100.0;True
Ohsumed;DO01;DO02;Fail to reject H0;0.03;0.82;0.42293631022339784;57.7064;True
Ohsumed;DO01;DO03;Fail to reject H0;0.03;0.3065;0.7627551745969221;23.7245;True
